source_id,title,publisher,url,checked_on,validity,fare_regime,source_kind,operator_keys,agency_names,countries,access,verification,reuse,usable_for,limitations,next_step,audit_files
DACH_NRW,"NRW-Tarif 2026 scope, products and eezy rules",mobil.nrw / Kompetenzcenter Marketing NRW,https://infoportal.mobil.nrw/nrw-tarif/nrw-tarif-im-ueberblick.html,2026-09-09,Reform from 01.01.2026; overview 01.06.2026; tariff PDF 01.06.2026.,published_tariff,tariff_rules,DB|National Express Rail|Eurobahn|WestfalenBahn|Transdev|NIAG|go.on|RATH,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|National Express|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Eurobahn|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|NIAG|WestfalenBahn|go.on Gesellschaft für Bus- und Schienenverkehr mbH|Busverkehr-Rhein-Neckar|VIAS GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,Official page states relation-priced singles ended; cross-Verbund singles use eezy or flat EinzelTicket NRW. Official ticket page gives adult EinzelTicket EUR 25.80.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,"Current NRW tariff precedence and products; official distance-based e-fare rules are tariffs, not regressions.","Do not reuse historical NRW relation-price matrix for 2026 singles; regional tariffs, extensions and e-ticket caps apply.",Acquire https://infoportal.mobil.nrw/fileadmin/02_Wiki_Seite/05_NRW_Tarif/06_NRW_Tarifbestimmungen/2026-06-01_Tarifbestimmungen_NRW-Tarif.pdf and https://infoportal.mobil.nrw/nrw-tarif/ticketinfos-im-detail.html.,dach.json
DACH_OBB_NIGHT,"ÖBB night trains in Germany, fare ranges",ÖBB-Personenverkehr AG,https://www.oebb.at/static/tarife/de/relationspreise/Resources/pdf/3203138955.pdf,2026-09-09,2026 timetable period; index says valid from 14.12.2025.,published_fare_ladder,pdf_price_table,ÖBB,Österreichische Bundesbahnen|OEBB Personenverkehr AG Kundenservice|ÖBB|Oebb Personenverkehr AG Kundenservice,DE,Public webpage/PDF; no login observed.,"Opened three-page tables: distance bands, comfort category, passenger/product and minimum/maximum prices.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Published bounds for scoped Germany night-train fare products.,Ranges do not identify purchasable price or availability. Cannot assign generic Nachtzug identity.,Acquire fare bounds and German night-train rule manual; request/observe inventory only via authorized channel.,dach.json
DACH_OBB_OD,ÖBB published relation-price tables,ÖBB-Personenverkehr AG,https://www.oebb.at/static/tarife/de/relationspreise/index.html,2026-09-09,Valid from 14.12.2025.,published_tariff,pdf_price_table,ÖBB,Österreichische Bundesbahnen|OEBB Personenverkehr AG Kundenservice|ÖBB|Oebb Personenverkehr AG Kundenservice,AT,Public webpage/PDF; no login observed.,"Index gives alphabetic OD PDF shards, route, channel, class, full/Vorteilscard fares and three lead-time bands (180–15, 14–1, departure day).",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Exact standard-fare lookup for covered Austrian domestic relations and defined extensions.,Excludes other offers and Verbund fares. Not an international through-price dataset. PDFs total several GB.,Acquire only needed origin shards first; parse OD/route/channel/class/lead-time keys; validate against retail.,dach.json
DACH_OBB_RULES,Handbuch für Reisen mit den ÖBB in Österreich,ÖBB-Personenverkehr AG,https://www.oebb.at/static/tarife/de/handbuch_fuer_reisen_mit_den_oebb_in_oesterreich/index.html,2026-09-09,Valid from 07.09.2026.,mixed,tariff_rules,ÖBB,Österreichische Bundesbahnen|OEBB Personenverkehr AG Kundenservice|ÖBB|Oebb Personenverkehr AG Kundenservice,AT|DE|CH|LI|HU,Public webpage/PDF; no login observed.,"Opened HTML manual. Scope A.2 defines Austrian routes, specified border extensions and marked replacement buses; product definitions include standard and night services.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,"Eligibility, class/discount/route rules; conditional rail-replacement bus linkage.",Bus agency alone does not establish replacement status. Nightjet/Sparschiene needs different product model.,Parse relevant sections and retain travel-date versions with OD prices.,dach.json
DACH_OBB_Y_SAMPLE,"ÖBB OD table, origins Y: verified sample shard",ÖBB-Personenverkehr AG,https://static.web.oebb.at/relationspreise/14122025/y.pdf,2026-09-09,14.12.2025; PDF title references 2026.,published_tariff,pdf_price_table,ÖBB,Österreichische Bundesbahnen|OEBB Personenverkehr AG Kundenservice|ÖBB|Oebb Personenverkehr AG Kundenservice,AT,Public webpage/PDF; no login observed.,"Web reader opened 226-page monetary relation table, 23,713 extracted lines; source index lists approx. 3.23 MB.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Prototype parser on a small shard before full Austrian acquisition.,Only Y origins. PDF screenshot fetch failed; no parser/retail validation performed.,"Download shard locally, inspect tabular columns visually, then generalize parser.",dach.json
DACH_RMV,"RMV fare rules, regional matrices and 2026 price list",Rhein-Main-Verkehrsverbund,https://www.rmv.de/c/de/tickets/regeln/befoerderungsbedingungen-tarifbestimmungen/tarifbestimmungen,2026-09-09,Price list 01.01.2026; supporting tariff information January/February 2026.,published_tariff,pdf_price_table,RMV|HLB|DB|RATH,DB Fernverkehr AG|DB Regio AG Bayern|Hessische Landesbahn GmbH|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|DB Regio Stuttgart GmbH|Deutsche Bahn AG|RMV|rab|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|Busverkehr-Rhein-Neckar|VIAS GmbH,DE,Public webpage/PDF; no login observed.,"Official indexed rule text links regional, Frankfurt and Wiesbaden price matrices and tariff map. Money verified in https://www.rmv.de/c/fileadmin/documents/PDFs/_RMV_DE/Infomaterial/Fahrkarten-_und_Tarifinformationen/Preisliste.pdf",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,"Exact zone/OD-matrix tariff architecture, including special city price levels.",Main rule page open failed although official indexed text and price PDF were available. Matrices not parsed.,Acquire price list plus matrices/maps; resolve stop tariff IDs and special airport/city boundaries.,dach.json
DACH_SWISS_OJP,Beta OJP Fare: NOVA price-query interface,Open data platform mobility Switzerland,https://opentransportdata.swiss/it/cookbook/open-journey-planner-ojp/ojp-fare/,2026-09-09,Beta documentation checked 09.09.2026; production status unverified.,mixed,api_documentation,SBB|SOB|THURBO,Schweizerische Bundesbahnen SBB|SBB Infrastruktur AG Bahnersatz|Schweizerische Südostbahn (sob)|THURBO,CH,Public documentation; API key required.,"Official documentation explicitly labels integration/test data, API-key access, Swiss trips and non-binding quotes.",Platform terms apply; not reviewed as production data licence.,Schema/prototype exploration only.,Do not use integration prices as production fares. Limited requests; actual payable fare fixed on order.,Recheck official production availability; obtain API key only if user authorizes account/access setup.,dach.json
DACH_SWISS_OSDM,Beta OSDM Offline Switzerland fare file,Open data platform mobility Switzerland (SBB),https://data.opentransportdata.swiss/en/dataset/osdm-offline,2026-09-09,Current archive validity unverified. Official catalogue mirror last-updated metadata: 30.06.2026; this is not fare validity.,published_tariff,open_data_catalogue,SBB|SOB|THURBO,Schweizerische Bundesbahnen SBB|SBB Infrastruktur AG Bahnersatz|Schweizerische Südostbahn (sob)|THURBO,CH,Public catalogue; archive acquisition failed in this session.,Catalogue advertises ZIP. Official cookbook says precalculated NOVA subset selected for international sales with little/no local transport: https://opentransportdata.swiss/en/cookbook/open-sales-and-distribution-model/,Open-data platform source; specific resource reuse terms not verified; file does not authorize third-party ticket sales.,Potential machine-readable price records for included Swiss relations.,Archive/version/calendar/coverage not inspected. Web binary fetch failed; direct public page returned HTTP 403. No current complete Swiss resolver claimed.,"Acquire public ZIP through documented catalogue, inspect delivery calendar/ODs/licence, compare required FUAs.",dach.json
DACH_SWISS_RULES,Alliance SwissPass tariffs index: T600/T601/T603,Alliance SwissPass,https://www.allianceswisspass.ch/de/tarife-vorschriften/uebersicht,2026-09-09,Index checked 09.09.2026; document-specific dates required.,mixed,tariff_rules,SBB|SOB|THURBO,Schweizerische Bundesbahnen SBB|SBB Infrastruktur AG Bahnersatz|Schweizerische Südostbahn (sob)|THURBO,CH,Public index; T601/T603 require login in observed paths.,Index opened. T603 download and indexed T601 PDF redirected to login; titles alone do not establish accessible money/distance tables.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Tariff architecture and a legitimate access-request path for missing data.,"T600 is rules, not an OD price table; T601/T603 retrieval was access-gated.",Use public documents where accessible; pursue authorized NOVA/OSDM data rather than assuming historic kilometre tables still suffice.,dach.json
DACH_SWISS_T604,"T604: concessionaire tariff distances and prices, current rules",Alliance SwissPass,https://www.allianceswisspass.ch/de/asp/Downloads?download=2669,2026-09-09,Edition 01.06.2026.,published_tariff,tariff_rules,SBB|SOB|THURBO,Schweizerische Bundesbahnen SBB|SBB Infrastruktur AG Bahnersatz|Schweizerische Südostbahn (sob)|THURBO,CH,Public webpage/PDF; no login observed.,Opened ten-page PDF. Section 2.1.1 delegates prices to NOVA; 2.2.2 delegates route instructions to NOVA.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Evidence that titled tariff documents may provide rules without calculable monetary tables.,No complete concessionaire distance/price matrix in this public document.,Acquire NOVA-derived approved price data and validate actual SOB/THURBO route coverage.,dach.json
DACH_VGI,"VGI price table, tariff stages 1–10",Verkehrsverbund Großraum Ingolstadt,https://www.vgi.de/FileServlet?accesskey=9bb5da9e-7732-4678-8d6b-3fbb64a3e6e5,2026-09-09,01.08.2026.,published_tariff,pdf_price_table,VGI,Ingolstadt,DE,Public webpage/PDF; no login observed.,Opened one-page monetary table linked from https://www.vgi.de/tarif ; separate stages 11–20 also linked.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,"Bus fare lookup by stage, passenger and sales channel.",January 2026 table is superseded; Ingolstadt alias still needs trip/stop scope check.,Acquire both stage tables and tariff-zone definitions.,dach.json
